2012-08-01 15:01 main INFO- Mongo not exist ,try to build one new connection！
2012-08-01 15:02 main INFO- Mongo not exist ,try to build one new connection！
2012-08-01 15:04 main INFO- Begin to dump keywordMap....
2012-08-01 15:04 main INFO- Mongo not exist ,try to build one new connection！
2012-08-01 15:04 main INFO- KeywordDump finished ,dump size:22992
2012-08-01 15:10 main INFO- Mongo not exist ,try to build one new connection！
2012-08-01 15:45 main INFO- Mongo not exist ,try to build one new connection！
2012-08-01 15:46 main INFO- Begin to dump keywordMap....
2012-08-01 15:46 main INFO- Mongo not exist ,try to build one new connection！
2012-08-01 15:47 main INFO- KeywordDump finished ,dump size:22992
2012-08-01 15:47 main ERROR- Can't find category for keyword:38
2012-08-01 15:49 main ERROR- Can't find category for keyword:36
2012-08-01 15:49 main ERROR- Can't find category for keyword:531
2012-08-01 15:49 main ERROR- Can't find category for keyword:6553
2012-08-01 15:49 main ERROR- Can't find category for keyword:1197
2012-08-01 15:49 main ERROR- Can't find category for keyword:2071
2012-08-01 15:49 main ERROR- Can't find category for keyword:212
2012-08-01 15:49 main ERROR- Can't find category for keyword:15362
2012-08-01 15:49 main ERROR- Can't find category for keyword:1005
2012-08-01 15:49 main ERROR- Can't find category for keyword:2861
2012-08-01 15:49 main ERROR- Can't find category for keyword:6352
2012-08-01 15:49 main ERROR- Can't find category for keyword:3133
2012-08-01 15:49 main ERROR- Can't find category for keyword:3655
2012-08-01 15:49 main ERROR- Can't find category for keyword:778
2012-08-01 15:49 main ERROR- Can't find category for keyword:2892
2012-08-01 15:49 main ERROR- Can't find category for keyword:6308
2012-08-01 15:49 main ERROR- Can't find category for keyword:4305
2012-08-01 15:49 main ERROR- Can't find category for keyword:3037
2012-08-01 15:49 main ERROR- Can't find category for keyword:4991
2012-08-01 15:49 main ERROR- Can't find category for keyword:8260
2012-08-01 15:49 main ERROR- Can't find category for keyword:6629
2012-08-01 15:49 main ERROR- Can't find category for keyword:11123
2012-08-01 15:49 main ERROR- Can't find category for keyword:2280
2012-08-01 15:49 main ERROR- Can't find category for keyword:2452
2012-08-01 15:49 main ERROR- Can't find category for keyword:4243
